Archivo;Pedidos;Camiones;Config;Estado;Objetivo;Gap;Tiempo
bateria_pruebas\run_200p_normal_iter27.dat;1200;75;Limite_300s;aborted/maxTimeLimit;7577,5;0,035466;299,99
bateria_pruebas\run_200p_normal_iter28.dat;1200;75;Limite_20s;aborted/maxTimeLimit;6357,5;0,347534;20,0
bateria_pruebas\run_200p_normal_iter28.dat;1200;75;Limite_60s;aborted/maxTimeLimit;6357,5;0,158955;60,01
bateria_pruebas\run_200p_normal_iter28.dat;1200;75;Limite_300s;aborted/maxTimeLimit;6351,5;0,02104;300,08
bateria_pruebas\run_200p_normal_iter29.dat;1200;75;Limite_20s;aborted/maxTimeLimit;7048,5;0,774426;19,9
bateria_pruebas\run_200p_normal_iter29.dat;1200;75;Limite_60s;aborted/maxTimeLimit;7048,5;0,515657;59,92
bateria_pruebas\run_200p_normal_iter29.dat;1200;75;Limite_300s;aborted/maxTimeLimit;5764,0;0,396425;299,93
bateria_pruebas\run_200p_normal_iter30.dat;1200;75;Limite_20s;ok/optimal;14715,0;0,0;15,78
bateria_pruebas\run_200p_normal_iter30.dat;1200;75;Limite_60s;ok/optimal;14715,0;0,0;15,78
bateria_pruebas\run_200p_normal_iter30.dat;1200;75;Limite_300s;ok/optimal;14715,0;0,0;15,78
bateria_pruebas\run_200p_pesado_iter01.dat;1200;75;Limite_20s;aborted/maxTimeLimit;25623,5;0,131069;20,16
bateria_pruebas\run_200p_pesado_iter01.dat;1200;75;Limite_60s;aborted/maxTimeLimit;24959,0;0,107935;60,1
bateria_pruebas\run_200p_pesado_iter01.dat;1200;75;Limite_300s;aborted/maxTimeLimit;24903,5;0,021316;300,33
bateria_pruebas\run_200p_pesado_iter02.dat;1200;75;Limite_20s;aborted/maxTimeLimit;27355,0;0,123198;20,21
bateria_pruebas\run_200p_pesado_iter02.dat;1200;75;Limite_60s;aborted/maxTimeLimit;27033,5;0,11277;60,22
bateria_pruebas\run_200p_pesado_iter02.dat;1200;75;Limite_300s;aborted/maxTimeLimit;27022,5;0,021661;300,35
bateria_pruebas\run_200p_pesado_iter03.dat;1200;75;Limite_20s;aborted/maxTimeLimit;28051,50217462216;0,139766;20,22
bateria_pruebas\run_200p_pesado_iter03.dat;1200;75;Limite_60s;aborted/maxTimeLimit;28051,50217462216;0,139766;60,2
bateria_pruebas\run_200p_pesado_iter03.dat;1200;75;Limite_300s;aborted/maxTimeLimit;27795,0;0,021466;300,31
bateria_pruebas\run_200p_pesado_iter04.dat;1200;75;Limite_20s;aborted/maxTimeLimit;27307,0;0,148822;20,21
bateria_pruebas\run_200p_pesado_iter04.dat;1200;75;Limite_60s;aborted/maxTimeLimit;26668,0;0,128427;60,3
bateria_pruebas\run_200p_pesado_iter04.dat;1200;75;Limite_300s;aborted/maxTimeLimit;26668,0;0,09809;300,3
bateria_pruebas\run_200p_pesado_iter05.dat;1200;75;Limite_20s;aborted/maxTimeLimit;26806,50217462216;0,130293;20,31
bateria_pruebas\run_200p_pesado_iter05.dat;1200;75;Limite_60s;aborted/maxTimeLimit;26467,0;0,119137;60,24
bateria_pruebas\run_200p_pesado_iter05.dat;1200;75;Limite_300s;aborted/maxTimeLimit;26084,5;0,010551;300,32
bateria_pruebas\run_200p_pesado_iter06.dat;1200;75;Limite_20s;aborted/maxTimeLimit;30498,0;0,281541;20,21
bateria_pruebas\run_200p_pesado_iter06.dat;1200;75;Limite_60s;aborted/maxTimeLimit;27497,0;0,203129;60,25
bateria_pruebas\run_200p_pesado_iter06.dat;1200;75;Limite_300s;aborted/maxTimeLimit;27435,5;0,118149;300,29
bateria_pruebas\run_200p_pesado_iter07.dat;1200;75;Limite_20s;aborted/maxTimeLimit;28492,5;0,119318;20,3
bateria_pruebas\run_200p_pesado_iter07.dat;1200;75;Limite_60s;aborted/maxTimeLimit;28195,0;0,110026;60,23
bateria_pruebas\run_200p_pesado_iter07.dat;1200;75;Limite_300s;aborted/maxTimeLimit;27719,5;0,022368;300,36
bateria_pruebas\run_200p_pesado_iter08.dat;1200;75;Limite_20s;aborted/maxTimeLimit;26476,5;0,261379;20,21
bateria_pruebas\run_200p_pesado_iter08.dat;1200;75;Limite_60s;aborted/maxTimeLimit;23253,0;0,158986;60,23
bateria_pruebas\run_200p_pesado_iter08.dat;1200;75;Limite_300s;aborted/maxTimeLimit;22931,5;0,04511;300,32
bateria_pruebas\run_200p_pesado_iter09.dat;1200;75;Limite_20s;aborted/maxTimeLimit;31960,023920843756;0,292504;20,24
bateria_pruebas\run_200p_pesado_iter09.dat;1200;75;Limite_60s;aborted/maxTimeLimit;27838,0;0,187744;60,22
bateria_pruebas\run_200p_pesado_iter09.dat;1200;75;Limite_300s;aborted/maxTimeLimit;27838,0;0,160904;300,34
bateria_pruebas\run_200p_pesado_iter10.dat;1200;75;Limite_20s;aborted/maxTimeLimit;27096,0;0,124531;20,18
bateria_pruebas\run_200p_pesado_iter10.dat;1200;75;Limite_60s;aborted/maxTimeLimit;26324,5;0,098873;60,2
bateria_pruebas\run_200p_pesado_iter10.dat;1200;75;Limite_300s;aborted/maxTimeLimit;26318,0;0,015945;300,45
bateria_pruebas\run_200p_pesado_iter11.dat;1200;75;Limite_20s;aborted/maxTimeLimit;33299,5;0,07847;20,23
bateria_pruebas\run_200p_pesado_iter11.dat;1200;75;Limite_60s;aborted/maxTimeLimit;33242,0;0,076876;60,2
bateria_pruebas\run_200p_pesado_iter11.dat;1200;75;Limite_300s;aborted/maxTimeLimit;33239,5;0,037377;300,26
bateria_pruebas\run_200p_pesado_iter12.dat;1200;75;Limite_20s;aborted/maxTimeLimit;26087,5;0,120321;20,24
bateria_pruebas\run_200p_pesado_iter12.dat;1200;75;Limite_60s;aborted/maxTimeLimit;25394,0;0,091673;60,23
bateria_pruebas\run_200p_pesado_iter12.dat;1200;75;Limite_300s;aborted/maxTimeLimit;25371,5;0,017462;300,39
bateria_pruebas\run_200p_pesado_iter13.dat;1200;75;Limite_20s;aborted/maxTimeLimit;29119,0;0,082582;20,21
bateria_pruebas\run_200p_pesado_iter13.dat;1200;75;Limite_60s;aborted/maxTimeLimit;29017,5;0,079373;60,26
bateria_pruebas\run_200p_pesado_iter13.dat;1200;75;Limite_300s;aborted/maxTimeLimit;28973,5;0,011594;300,28
bateria_pruebas\run_200p_pesado_iter14.dat;1200;75;Limite_20s;aborted/maxTimeLimit;23126,0;0,199166;20,12
bateria_pruebas\run_200p_pesado_iter14.dat;1200;75;Limite_60s;aborted/maxTimeLimit;22786,0;0,152713;60,14
bateria_pruebas\run_200p_pesado_iter14.dat;1200;75;Limite_300s;aborted/maxTimeLimit;22786,0;0,151767;300,17
